word1,word2,weight,weight_alpha,weight_beta,curvature
careful,requires,189,189,0,-0.615267
claim,several,183,183,0,-0.908477
boundary,conditions,183,183,0,-0.481403
conditions,specific,183,183,0,-0.629742
demonstrate,observations,183,183,0,-0.677249
consideration,requires,180,180,0,-0.8151
careful,consideration,180,180,0,-0.354839
careful,involves,180,180,0,-0.677419
consideration,involves,180,180,0,-0.333333
consideration,multiple,180,180,0,-0.692308
involves,multiple,180,180,0,-0.384615
interacting,involves,180,180,0,-0.666667
interacting,multiple,180,180,0,-0.384615
factors,multiple,180,180,0,-0.695431
factors,interacting,180,180,0,-0.340659
interacting,lead,180,180,0,-0.67033
factors,lead,180,180,0,-0.347826
complex,factors,180,180,0,-0.673913
complex,lead,180,180,0,-0.347826
dependencies,lead,180,180,0,-0.67033
complex,dependencies,180,180,0,-0.340659
complex,core,180,180,0,-0.67033
core,dependencies,180,180,0,-0.333333
dependencies,issue,180,180,0,-0.666667
core,issue,180,180,0,-0.333333
claim,core,180,180,0,-0.909842
claim,issue,180,180,0,-0.819684
connects,issue,180,180,0,-0.693095
claim,connects,180,180,0,-0.819383
connects,several,180,180,0,-0.392405
concepts,connects,180,180,0,-0.70516
concepts,several,180,180,0,-0.368421
causally,several,180,180,0,-0.672043
causally,concepts,180,180,0,-0.369792
concepts,linked,180,180,0,-0.680851
causally,linked,180,180,0,-0.342391
causally,evaluation,180,180,0,-0.668478
evaluation,linked,180,180,0,-0.333333
linked,trace,180,180,0,-0.67033
evaluation,trace,180,180,0,-0.340659
connections,evaluation,180,180,0,-0.666667
connections,trace,180,180,0,-0.340659
explicitly,trace,180,180,0,-0.6875
connections,explicitly,180,180,0,-0.368421
connections,evidence,180,180,0,-0.724771
evidence,explicitly,180,180,0,-0.473684
explicitly,relevant,180,180,0,-0.684211
evidence,relevant,180,180,0,-0.449541
evidence,results,180,180,0,-0.727679
relevant,results,180,180,0,-0.354839
relevant,theoretical,180,180,0,-0.677419
results,theoretical,180,180,0,-0.369792
considerations,results,180,180,0,-0.677419
considerations,theoretical,180,180,0,-0.354839
empirical,theoretical,180,180,0,-0.725225
considerations,empirical,180,180,0,-0.444444
considerations,observations,180,180,0,-0.677419
empirical,observations,180,180,0,-0.459459
empirical,together,180,180,0,-0.727273
observations,together,180,180,0,-0.368421
demonstrate,together,180,180,0,-0.356383
claim,together,180,180,0,-0.910381
claim,demonstrate,180,180,0,-0.820762
demonstrate,holds,180,180,0,-0.677419
claim,holds,180,180,0,-0.818727
claim,specific,180,180,0,-0.911177
holds,specific,180,180,0,-0.375
conditions,holds,180,180,0,-0.810853
revealing,specific,180,180,0,-0.6875
conditions,revealing,180,180,0,-0.43876
conditions,important,180,180,0,-0.622465
important,revealing,180,180,0,-0.340659
boundary,revealing,180,180,0,-0.633634
boundary,important,180,180,0,-0.456193
constraints,important,180,180,0,-0.67033
boundary,constraints,180,180,0,-0.63964
boundary,consequently,180,180,0,-0.816817
consequently,constraints,180,180,0,-0.347826
assessment,constraints,180,180,0,-0.67033
assessment,consequently,180,180,0,-0.340659
claim,consequently,180,180,0,-0.908614
assessment,claim,180,180,0,-0.819684
assessment,well-supported,180,180,0,-0.666667
claim,well-supported,180,180,0,-0.819684
claim,proper,180,180,0,-0.898507
proper,well-supported,180,180,0,-0.349593
domain,well-supported,180,180,0,-0.671233
domain,proper,180,180,0,-0.358289
proper,requires,180,180,0,-0.796353
domain,requires,180,180,0,-0.629969
domain,qualification,180,180,0,-0.665753
qualification,requires,180,180,0,-0.6302
boundary,requires,180,180,0,-0.844374
boundary,qualification,180,180,0,-0.634441
conditions,qualification,180,180,0,-0.809672
boundary,non-trivial,180,180,0,-0.816817
conditions,non-trivial,180,180,0,-0.621705
causal,conditions,180,180,0,-0.809524
causal,non-trivial,180,180,0,-0.352941
mechanisms,non-trivial,180,180,0,-0.67033
causal,mechanisms,180,180,0,-0.351351
causal,underpin,180,180,0,-0.675676
mechanisms,underpin,180,180,0,-0.333333
made,mechanisms,180,180,0,-0.666667
made,underpin,180,180,0,-0.333333
explicit,underpin,180,180,0,-0.666667
explicit,made,180,180,0,-0.333333
made,standard,180,180,0,-0.690722
explicit,standard,180,180,0,-0.381443
explicit,presentations,180,180,0,-0.67033
presentations,standard,180,180,0,-0.387755
analysis,standard,180,180,0,-0.693878
analysis,presentations,180,180,0,-0.347826
leads,presentations,180,180,0,-0.719626
analysis,leads,180,180,0,-0.434579
analysis,conditional,180,180,0,-0.67033
conditional,leads,180,180,0,-0.433962
endorsement,leads,180,180,0,-0.67033
conditional,endorsement,180,180,0,-0.2
claim,conditional,180,180,0,-0.909842
claim,endorsement,180,180,0,-0.905586
empirical,evidence,93,48,45,-0.939929
claim,frameworks,90,90,0,-0.948971
condition,necessary,63,18,45,-0.75
assumption,hidden,48,3,45,-0.870968
formal-logical,standpoint,45,45,0,-0.333333
claim,formal-logical,45,45,0,-0.975227
claim,standpoint,45,45,0,-0.95106
empirical,indicates,45,45,0,-0.912281
evidence,indicates,45,45,0,-0.82659
claim,evidence,45,45,0,-0.97996
claim,indicates,45,45,0,-0.951652
critical,examination,45,45,0,-0.387755
critical,reveals,45,45,0,-0.558824
examination,reveals,45,45,0,-0.240506
claim,examination,45,45,0,-0.97553
claim,reveals,45,45,0,-0.948594
claim,situating,45,45,0,-0.975227
broader,situating,45,45,0,-0.53125
broader,claim,45,45,0,-0.926104
broader,frameworks,45,45,0,-0.387755
broader,shows,45,45,0,-0.411765
frameworks,shows,45,45,0,-0.411765
claim,shows,45,45,0,-0.92474
formal,structure,45,0,45,-0.956522
inference,logical,45,0,45,-1.0
condition,sufficient,45,0,45,-0.916667
boundary,definition,45,0,45,-0.996269
experimental,test,45,0,45,-1.0
mechanism,observable,45,0,45,-0.95122
