word,freq,weighted_degree
025,3,12
075,3,12
1023,3,12
1887,6,15
1905,3,12
1932,6,15
1956,9,27
1sqrtepsilon_zero,3,3
2001,6,15
7524,3,12
aberration,3,3
ability,3,12
absence,3,12
absolute,9,30
absorption,15,36
abundance,33,114
abundances,9,36
accelerating,3,12
accelerator,3,3
access,6,18
accessible,9,36
accounted,3,12
accumulate,3,12
accumulation,3,12
achievable,3,12
achieved,3,12
achieving,3,12
acoustic,12,27
acquire,6,24
acquisition,3,12
act-r,9,27
act-rs,3,12
activation,12,30
active,6,24
actively,3,12
actual,3,12
adaptation,3,12
additional,3,12
adiabatic,3,3
adoption,6,15
adscft,3,3
adults,9,30
adversarial,24,48
affect,3,12
affects,3,12
again,3,12
against,3,12
age,9,36
algebra,3,6
allows,3,12
alone,3,12
alpha,6,15
alternative,51,57
ambient,3,12
ambiguities,3,12
amount,3,12
amplification,3,12
analogous,3,12
analogy,45,45
analysis,183,732
ancestral,3,12
angular,3,12
anisotropy,3,12
annihilate,3,12
anthropic,6,6
appear,3,12
appears,9,33
applicability,3,12
applies,12,48
apply,3,12
approaching,3,12
approximately,24,96
arbitrarily,3,12
arbitrary,6,24
architectural,9,36
architecture,3,3
arise,3,12
arrow,12,12
articulatory,12,30
artifact,3,3
artificial,24,48
assessment,180,720
associated,3,12
assumed,3,12
assumes,3,12
assumption,63,108
assumptions,12,48
astronomically,3,12
astrophysics,3,12
atmosphere,3,3
atmospheres,3,12
atomic,18,63
atoms,6,24
atp,3,3
attention,3,3
attractor,3,3
atypically,3,12
authority,24,48
back-action,3,3
background,3,12
baddeley,3,3
baddeleys,3,12
balance,3,12
bandwidth,6,15
bandwidth-limited,3,12
bang,27,99
baryon,15,30
baryon-to-photon,12,39
baryonic,15,51
basis,6,24
bath,3,12
bbn,9,27
behave,3,12
behavior,24,48
bekenstein-hawking,6,15
belief,24,48
bell,3,3
below,3,12
best,12,48
beyond,33,78
bias,9,21
biased,3,12
biases,3,12
big,27,96
binding,12,24
biological,12,39
biology,6,24
bipm,3,3
birefringent,3,3
bit,3,12
black,21,60
block,3,6
board,3,12
bold,3,12
boltzmann,15,33
bonding,3,12
bottleneck,3,3
bound,9,36
boundary,483,1626
bounded,3,12
brain,6,6
breaking,3,3
breaks,6,24
bridge,3,6
bridging,54,81
broader,48,192
broglie,3,3
brown,6,15
budget,3,6
buffer,9,27
burst,6,15
calibrated,3,12
calorimetric,3,12
canonical,6,18
capabilities,24,48
capacity,90,282
capacity-limited,3,12
carbon,12,30
careful,189,756
carefully,3,12
carnot,3,3
casimir,6,15
categories,3,12
category,3,12
cauchy,3,3
causal,192,750
causality,12,48
causally,186,744
cause,6,24
cellular,3,3
center-embedded,6,15
central,12,39
certainty,24,48
chain,9,27
challenges,3,12
challenging,3,12
change,9,27
changes,30,72
channel,12,42
chaos,6,15
characteristic,3,12
charges,3,12
chemical,18,54
chemistry,15,42
cherenkov,3,3
chess,6,15
childhood,3,12
choice,9,36
chunk,15,48
chunking,9,27
circular,3,3
claim,1032,3633
claims,27,60
classical,12,48
clausius,3,3
clean,3,12
clock,12,30
clocks,3,12
close,6,24
closed,3,12
closely,3,12
cloud,3,6
clouds,3,12
clumping,6,15
cmb,21,69
cno,3,3
co-occurrence,24,48
coding,3,12
coefficients,3,12
cognition,3,12
cognitive,30,90
coherence,6,15
cold,3,12
collapse,6,15
collectively,3,12
collision,6,24
collisions,3,12
combination,3,12
combinatorial,3,12
combined,3,12
communication,9,36
commutativity,3,6
commute,3,12
comoving,6,15
compact,6,15
compatible,3,12
complete,3,12
complex,183,732
component,6,18
components,3,12
composed,3,12
composite,3,12
composition,21,75
comprehend,3,12
comprehension,9,27
compression,6,15
compton,3,3
computation,15,51
computational,6,24
compute,24,48
conceals,6,21
concept,51,69
concepts,204,768
conceptual,45,45
concerns,3,12
conclusion,15,60
conclusions,3,12
concrete,3,12
condition,126,177
conditional,180,720
conditions,393,1563
conducting,3,12
confidence,30,66
configuration,3,12
configurations,3,12
confined,3,12
confirm,6,24
confirmation,3,12
confirmed,12,48
confirms,3,12
conflated,3,12
conformal,3,3
confound,6,6
confounds,3,12
connected,6,24
connecting,3,12
connection,12,48
connections,180,720
connects,204,813
consciousness,24,48
consensus,24,48
consequence,9,36
consequences,3,12
consequently,183,732
considerably,6,24
consideration,180,720
considerations,180,720
consistent,12,48
consistently,30,72
consists,3,12
conspecifics,3,12
constancy,6,24
constant,24,72
constitute,6,24
constitutes,3,12
constrained,3,12
constraint,36,111
constraints,183,732
contain,3,12
contested,3,12
context,3,12
contingent,3,12
continues,3,12
continuous,3,3
continuously,3,12
contraction,3,12
contradicted,3,12
control,6,6
controlled,6,24
controls,6,24
convenient,3,12
converge,3,12
convergence,12,48
convergent,48,57
conversion,3,12
coordinate,12,30
core,180,720
correction,6,12
corrections,6,24
correlate,6,24
correlates,3,12
correlation,3,3
correspond,6,24
correspondence,6,15
corresponds,3,12
corroborating,3,12
corsi,3,6
cortex,6,15
cosmic,18,39
cosmological,15,33
cosmology,6,15
cost,12,48
counterintuitively,3,12
counting,3,12
coupling,6,12
covariance,3,3
cowan,6,6
cowans,6,24
cpt,6,6
crisis,30,63
critical,48,102
critically,3,12
critique,3,3
cross-domain,54,81
crucial,3,12
cubed,3,12
cue,3,3
cultural,3,3
current,33,84
currently,3,12
curve,3,6
curved,33,75
cycle,3,3
daily,3,12
dark,24,75
data,6,24
day,3,12
death,3,3
decentralized,24,48
decisions,24,48
declarative,3,12
decline,3,3
declines,3,12
decoherence,3,3
decomposed,3,12
decorrelation,3,12
decrease,9,36
decreases,6,24
deep,3,12
deepest,3,12
defined,36,96
defines,3,12
definition,54,72
degrades,24,48
degree,3,12
demand,3,3
demon,15,39
demons,3,12
demonstrate,186,744
demonstrated,3,12
demonstrates,18,72
demonstrating,3,12
dense,6,24
densities,3,12
density,12,39
dependencies,180,720
dependency,3,3
depending,6,24
depends,9,36
deploying,24,48
derivable,3,12
derivation,12,39
derive,3,12
derived,3,12
derives,3,9
deriving,3,12
descriptor,3,12
deserve,3,12
deserves,3,9
design,3,12
designated,3,12
designates,3,12
detect,6,24
detectable,3,12
detection,12,30
determination,3,12
determine,3,12
determined,9,36
determines,3,12
determining,3,12
deterministic,3,12
deuterium,12,27
developed,3,12
developmental,3,3
develops,3,12
deviation,6,24
diagram,3,3
difference,3,12
differences,6,15
differently,3,12
difficult,3,12
digit,3,3
digital,6,21
dilation,6,15
direct,9,36
direction,9,36
directly,9,36
disambiguation,3,12
disconnected,3,12
discrete,3,12
discriminate,3,12
disorganized,3,12
dispersion,6,15
dissipating,3,12
dissipation,3,3
dissipative,3,3
distance,6,15
distinct,3,12
distinction,9,36
distinguished,3,12
distinguishes,9,36
distribution,9,18
divergence,24,48
divided,9,36
domain,186,735
domains,27,54
dominance,3,9
dominant,3,12
dominated,3,12
dominates,3,12
dopamine,3,3
doppler,3,3
dorsolateral,6,15
down,3,12
driven,3,12
drops,6,24
dual-process,3,3
dual-store,3,3
dual-task,6,15
duality,3,3
due,6,24
dwarf,3,3
dwarfs,3,12
dynamics,15,60
earths,6,24
echo,9,18
ecological,3,3
edges,24,48
effect,45,90
effective,3,6
effectively,3,12
effects,9,36
efficiency,6,6
einsteins,3,12
ejecta,3,3
ejected,3,12
electrical,3,12
electrodynamic,6,21
electromagnetic,9,30
electromagnetism,3,12
electrons,3,12
element,3,12
elements,12,48
eliminated,3,12
embedded-process,3,3
embedding,24,48
emergence,3,12
emergent,24,48
emit,3,12
empirical,291,936
empty,3,12
enables,3,12
enabling,3,12
encodes,3,12
encoding,9,18
endorsement,180,540
energies,3,12
energy,45,150
energy-dependent,6,15
engage,3,12
engine,3,3
engineered,3,12
engineering,6,24
enough,3,12
enrichment,9,18
ensemble,6,6
entanglement,3,3
entire,6,24
entropy,123,417
entropy-increasing,9,36
environment,6,24
environments,12,48
episodic,6,15
epistemic,24,48
epoch,6,6
epsilon_zero,12,36
equal,6,24
equality,3,3
equals,15,60
equation,18,45
equations,18,63
equilibrium,6,15
erasing,3,12
erasure,6,15
ergodic,3,3
ergodicity,3,3
erp,3,3
error,6,9
errors,3,12
establishes,6,24
establishing,6,24
estimate,42,156
estimated,3,12
estimates,9,36
ether,9,27
evaluation,180,720
evaporation,3,6
events,3,12
evidence,282,948
evolution,9,27
evolutionary,9,27
evolves,3,12
exactly,3,12
examination,45,135
exceed,6,24
exchanges,3,12
executive,9,18
exhibit,48,96
exists,9,36
expansion,18,54
expected,3,12
experience,24,48
experiment,15,51
experimental,54,81
experimentally,6,21
experimenter,3,12
experiments,21,84
expert,3,12
expertise,6,6
expertise-dependent,3,12
explanatory,3,12
explicit,180,720
explicitly,207,780
exploits,3,12
explosions,3,12
exponential,3,12
exporting,3,12
extended,3,12
extends,6,24
extremely,12,48
eye,3,3
facilitation,3,3
factor,9,36
factors,183,732
factual,24,48
failed,3,12
failure,75,117
fall,3,12
falling,3,12
families,24,48
far-from-equilibrium,9,15
favors,3,12
feature,6,24
femtosecond,3,3
fictitious,3,12
field,27,72
fields,3,12
figure,9,36
finding,3,12
findings,6,24
fine,6,18
fine-structure,3,12
fine-tuning,24,48
finite,9,36
firing,6,15
fixed,6,24
fizeau,3,3
flow,9,27
fluctuation,9,18
fluctuations,3,12
fluency,24,48
fluid,6,15
fmri,6,15
follow,3,12
follows,9,36
force,3,12
forces,3,12
forest,3,3
form,6,24
formal,51,69
formal-logical,45,90
formally,3,12
formation,18,54
formatting,24,48
formula,3,12
formulation,6,24
foucault,3,3
found,9,36
foundations,3,12
fraction,48,129
frame,27,84
frame-dependent,6,24
frame-independent,3,12
framed,3,12
frames,15,60
framework,48,57
frameworks,48,192
free,24,66
freely,3,12
frequently,3,12
friedmann,3,3
full,6,21
fully,3,12
function,30,57
functions,3,12
fundamental,12,48
fundamentally,27,60
further,18,72
furthermore,3,12
fuse,3,12
fusion,9,30
galactic,6,24
galaxies,3,12
galaxy,3,3
gamma-ray,6,15
gamma-theta,3,3
gas,12,33
gases,3,12
gating,3,3
gauge,3,3
general,33,78
generalization,3,12
generalize,27,60
generate,6,24
generates,6,24
generation,24,48
genuine,9,36
geometry,3,3
gibbs,6,9
given,6,24
globally,3,12
goal-directed,24,48
gps,6,18
graph,48,96
gravitational,24,60
gravity,18,54
greater,9,36
grounding,3,12
group,3,3
h-theorem,9,24
hawking,3,3
hbar,6,24
heat,15,33
heating,6,15
heavier,9,36
heavy,6,24
helium,39,147
helium-3,9,24
helium-4,12,39
heliums,3,12
hidden,54,81
high,15,60
high-entropy,3,12
high-span,3,12
high-stakes,24,48
higher,12,48
highly,3,12
hii,3,3
him,3,12
hippocampal,3,3
historical,3,9
history,6,24
holds,183,732
hole,18,45
holes,3,12
holographic,6,6
hopfield,3,3
horizon,15,36
hot,9,36
hubble,3,12
human,3,12
hydrogen,24,81
hydrogen-helium,18,66
hydrogen-helium-dominated,3,12
hydrogen-to-helium,6,24
hypothesis,9,9
hypothesized,3,12
idealization,3,12
identical,3,12
identifying,3,12
iii,9,18
immediate,3,12
imperfect,3,12
implements,3,12
implicit,3,3
implicitly,3,12
import,3,12
important,180,720
imposes,3,12
impossible,3,12
improbable,6,24
improvements,24,48
include,3,12
includes,3,12
including,9,36
incommensurable,24,48
incomplete,3,12
inconsistency,6,24
incorporates,3,12
increase,33,132
increases,6,24
increasing,30,72
indeed,3,12
independent,30,72
independently,3,12
index,12,33
